ID,NAME,LAT,LON,FEDERAL_STATE,ADRESS,LINK,FREE/NOT FREE,LOCATION TYPE,INDOOR/OUTDOOR,ALL AUSTRIAN GROUPEMATCHES
51,Freiwillige Feuerwehr Grünburg,47.97035868,14.26290817,OBEROESTERREICH,"Hauptstrasse 33, 4594 Grünburg",https://www.ff-gruenburg.at/ff/,FREE,PUBLIC SPACE,OUTDOOR,NO
52,Freiwillige Feuerwehr Jenbach,47.39220915,11.77102397,TIROL,"Tratzbergstraße 11, 6200 Jenbach",,FREE,PUBLIC SPACE,OUTDOOR,NO
53,Freiwillige Feuerwehr Pernitz,47.89610643,15.95675891,NIEDEROESTERREICH,"Bahnstraße 7, 2763 Pernitz",,FREE,PUBLIC SPACE,OUTDOOR,NO
54,Freiwillige Feuerwehr Sistrans,47.23630483,11.44320798,TIROL,"Tiglsweg 400, 6073 Sistrans",,FREE,PUBLIC SPACE,OUTDOOR,NO
55,Fuego,48.1801,16.3721,WIEN,"Jagdgasse 4, 1100 Wien",http://www.fuego.wien/,FREE,BAR,INDOOR,NO
56,Fußballstadion des FC Red Bull Salzburg,47.81627306,12.99790738,SALZBURG,"Stadionstraße 2/3, 5071 Wals bei Salzburg",,FREE,EVENT VENUE,OUTDOOR,NO
57,Gasthaus Napoleon ,48.2484,16.4494,WIEN,"Kagraner Pl. 33, 1220 Wien",https://www.napoleon.wien/,NOT FREE,RESTAURANT,OUTDOOR,NO
58,Gemeindeamt Hüttau,47.41573267,13.30745407,SALZBURG,"Dorfzentrum Hüttau/ Mehrzweckraum, 5511 Hüttau",,FREE,PUBLIC SPACE,OUTDOOR,NO
59,Goldmarie WirtshausBar,48.19036131,14.1136743,OBEROESTERREICH,"Linzer Straße 28, 4614 Marchtrenk",,NOT FREE,BAR,INDOOR,NO
60,Gösser Bräu,47.0671,15.4377,STEIERMARK,"Neutorgasse 48, 8010 Graz",https://www.steiermark.com/de/Region-Graz/Urlaub-planen/Veranstaltungen/Public-Viewing-Fussball-WM_ed_87640512,FREE,RESTAURANT,OUTDOOR,NO
61,Hauptplatz Fürstenfeld,47.05073138,16.0762,STEIERMARK,"Hauptplatz, 8280 Fürstenfeld",,FREE,PUBLIC SPACE,OUTDOOR,NO
62,Hauptplatz Seiersberg,47.01128718,15.40360088,STEIERMARK,"Hauptplatz 1, 8054 Seiersberg Pirka",,FREE,PUBLIC SPACE,OUTDOOR,NO
63,Hengistzentrum Hengsberg,46.86860935,15.45003187,STEIERMARK,"Hensgberg 7, 8411 Hengsberg",,FREE,OTHER,INDOOR,NO
64,Hoher Platz Wolfsberg,46.83973752,14.84461716,KÄRNTEN,"Hoher Platz, 9400 Wolfsberg",,FREE,PUBLIC SPACE,OUTDOOR,NO
65,Hüttelbeach,48.1982,16.2622,WIEN,"Bahnhofstraße 28, 1140 Wien",http://huettelbeach.at/,FREE,BAR,INDOOR,NO
66,Jacky's Mühle,47.89690077,16.90486186,BURGENLAND,"Scheunegasse 10, 7122 Gols",,NOT FREE,RESTAURANT,INDOOR,NO
67,Jozef Linz,48.3000,14.2913,OBEROESTERREICH,"Landstrasse 49, 4020 Linz",https://josef.eu/events/fussball-wm2026/,NOT FREE,RESTAURANT,INDOOR,YES
68,kühstein.HAUS,48.47678899,15.65252676,NIEDEROESTERREICH,"Kühsteingraben 12-14, 3550 Langenlois",,NOT FREE,RESTAURANT,INDOOR,NO
69,Kulturhaus Knittelfeld,47.21531743,14.82383176,STEIERMARK,"Gaalerstraße 4, 8720 Knittelfeld",,FREE,EVENT VENUE,INDOOR,NO
70,Kulturheim Steinabrückl,47.86798442,16.20384195,NIEDEROESTERREICH,"Hauptstraße 9, 2751 Steinabrückl",,FREE,EVENT VENUE,INDOOR,NO
71,Kulturinitiative Weinsbergerwald,48.36548016,15.11836201,NIEDEROESTERREICH,"Gutenbrunn 24, 3665 Gutenbrunn",,FREE,EVENT VENUE,INDOOR,NO
72,KUMA / Kultura i krcma - Kultur und Beisl,47.53945034,16.55427994,BURGENLAND,"Parkgasse 3, 7304 Großwarasdorf",,NOT FREE,BAR,INDOOR,NO
73,Landgut Furtherwirt GMBH,47.54275336,12.44646503,TIROL,"Innsbruckerstraße 62, 6382 Kirchdorf",,NOT FREE,RESTAURANT,INDOOR,NO
74,last by Schachermayer,48.28973362,14.30559736,OBEROESTERREICH,"Lastenstraße 42, 4020 Linz",,NOT FREE,EVENT VENUE,INDOOR,NO
75,Laudon 16,48.2135,16.3508,WIEN,"Laudongasse 16, 1080 Wien",http://www.laudon16.at/,NOT FREE,RESTAURANT,OUTDOOR,NO
76,Linzer Uni Inn,48.33695928,14.31700332,OBEROESTERREICH,"Altenbergerstraße 69, 4040 Linz",,FREE,PUBLIC SPACE,INDOOR,NO
77,LUSTWERK,48.21784245,15.22303969,NIEDEROESTERREICH,"Kremser Str. 9, 3660 Klein-Pöchlarn",,NOT FREE,RESTAURANT,INDOOR,NO
78,Marktplatz Dornbirn,47.4136,9.74231,VORARLBERG,"Marktstraße, 6850 Dornbirn",https://www.bodensee-vorarlberg.com/public-viewing-fussball-wm-2026,FREE,PUBLIC SPACE,OUTDOOR,NO
79,Marktplatz Kobenz,47.24623713,14.84474325,STEIERMARK,"Marktplatz 1, 8723 Kobenz",,FREE,PUBLIC SPACE,OUTDOOR,NO
80,Mehrzweckplatz Schwaz-Ost,47.3524,11.7149,TIROL,"Johannes-Messner-Weg 12, 6130 Schwaz",https://www.schwaz.at/kalender/event/public-viewing-aut-vs-arg-fussball-weltmeisterschaft-2026-06-22/,FREE,PUBLIC SPACE,OUTDOOR,NO
81,Merkur Eisstadion,47.04475995,15.45550325,STEIERMARK,"Zoisweg 15, 8041 Graz",,NOT FREE,EVENT VENUE,INDOOR,NO
82,Mittelschule Kindberg,47.50849422,15.44710642,STEIERMARK,"August Musger Gasse 10, 8650 Kindberg",,FREE,OTHER,INDOOR,NO
83,Museum Paarhof Buacher,47.14712441,9.777802511,VORARLBERG,"Matin 17, 6707 Bürserberg",,FREE,EVENT VENUE,,NO
84,Musik Kultur St. Johann,47.52373068,12.42052077,TIROL,"Lederergasse 5, 6380 St. Johann in Tirol",https://www.muku.at/,FREE,EVENT VENUE,INDOOR,YES
85,Musikpavillon Zams,47.15874162,10.59015108,TIROL,"Sanatoriumstraße 1, 6511 Zams",,NOT FREE,EVENT VENUE,INDOOR,NO
86,Musistubn Antiesenhofen,48.34230983,13.438687,OBEROESTERREICH,"Maasbach 20, 4980 Antiesenhofen",,NOT FREE,BAR,INDOOR,NO
87,Neuer Platz Klagenfurt,46.6239,14.3077,KÄRNTEN,"Neuer Platz, 9020 Klagenfurt am Wörthersee",https://www.mein-klagenfurt.at/aktuelle-pressemeldungen/pressemeldungen-juni-2026/fussball-wm-public-viewing-am-neuen-platz-in-klagenfurt-eroeffnet,FREE,PUBLIC SPACE,OUTDOOR,NO
88,Olympiaworld Innsbruck,47.2579,11.4106,TIROL,"Olympiastraße 11, 6020 Innsbruck",https://www.liferadio.tirol/gratis-wm-public-viewing-in-innsbruck/,FREE,EVENT VENUE,INDOOR,NO
89,ORF OÖ Arena im Minoritenstadion in Wels,48.15659459,14.02426787,OBEROESTERREICH,"Minoritenplatz/Stadtplatz, 4600 Wels",https://www.wels.at/welsmarketing/events/top-events/public-viewing.html,FREE,EVENT VENUE,OUTDOOR,NO
90,Ortsfeuerwehr Röns,47.21664496,9.699459669,VORARLBERG,"Magnusplatz 1, 6822 Röns",,FREE,PUBLIC SPACE,,NO
91,Ortsplatz Ferschnitz,48.09452272,14.98488301,NIEDEROESTERREICH,"Marktplatz 15, 3325 Ferschnitz",,FREE,PUBLIC SPACE,OUTDOOR,NO
92,Otto-Gruberhalle,47.42879276,12.845481,SALZBURG,"Mittergasse 18, 5760 Saalfelden am Steinernen Meer",,NOT FREE,EVENT VENUE,INDOOR,NO
93,Palais Freiluft,48.2078,16.3541,WIEN,"Trautsongasse 1b, 1080 Wien",https://www.freiluft.co.at/wmspecial,FREE,EVENT VENUE,OUTDOOR,NO
94,Park der Volksschule Lieboch,46.97449545,15.33667493,STEIERMARK,"Hitzendorferstrasse 2, 8501 Lieboch",,FREE,PUBLIC SPACE,OUTDOOR,NO
95,Pink Panther,48.30560658,14.2842291,OBEROESTERREICH,"Altstadt 8, 4020 Linz",https://pink-panther.at/,NOT FREE,BAR,INDOOR,NO
96,Pizza Quartier,48.2173,16.3765,WIEN,"Karmelitermarkt 96, 1020 Wien",https://pizzaquartier-wien.at,NOT FREE,RESTAURANT,OUTDOOR,NO
97,Rathaus der Marktgemeinde Trumau,47.99616918,16.34192347,NIEDEROESTERREICH,"Kirchengasse 6, 2521 Trumau",https://www.trumau.at/,FREE,PUBLIC SPACE,INDOOR,NO
98,Rathaus Gänserndorf,48.34457525,16.76628191,NIEDEROESTERREICH,"Rathausplatz 2, 2230 Gänserndorf",,FREE,PUBLIC SPACE,INDOOR,NO
99,Rathauspark Deutschlandsberg,46.81488105,15.21407531,STEIERMARK,"Rathauspark - Hauptplatz, 8530 Deutschlandsberg",,FREE,PUBLIC SPACE,OUTDOOR,NO
100,Restaurant Bar STEINDL,48.1957,16.3425,WIEN,"Stumpergasse 59, 1060 Wien",https://www.restaurant-steindl.at,NOT FREE,RESTAURANT,INDOOR,YES
101,Restaurant Madre ,48.2021,16.3302,WIEN,"Markgraf-Rüdiger-Straße 12, 1150 Wien",https://pizzamadre.at/,FREE,RESTAURANT,OUTDOOR,NO
102,Rinderwahn Weihburggasse,48.2073,16.3724,WIEN,"Weihburggasse 3, 1010 Wien",https://www.rinderwahn.at,NOT FREE,RESTAURANT,INDOOR,NO
103,Rintpark Frohnleiten,47.27339282,15.32734335,STEIERMARK,"Brucker Straße 5, 8130 Frohnleiten ",,FREE,PUBLIC SPACE,OUTDOOR,NO
104,Rohbau Mehrnbach,48.21329861,13.462638,OBEROESTERREICH,"Renetsham 11, 4941 Mehrnbach",,FREE,OTHER,INDOOR,NO
105,Salettl im Alten AKH,48.2157,16.3532,WIEN,"Alserstrasse 4/Hof 1, 1090 Wien",https://www.salettl.at/#faq,FREE,RESTAURANT,OUTDOOR,NO
106,Salim's Cocktails - Cafe - Snacks,48.2021,16.3736,WIEN,"Mahlerstraße 12, 1010 Wien",https://www.salims.at,NOT FREE,BAR,INDOOR,NO
107,San Pietro San Bar,47.0503,16.4800,STEIERMARK,"St. Peter Hauptstraße 141, 8042 Graz",https://www.facebook.com/events/st-peter-hauptstra%C3%9Fe-141-graz-%C3%B6sterreich/%EF%B8%8F-public-viewing-wm-2026-%EF%B8%8F-%C3%B6sterreich-vs-argentinien-/1273195818186598/,NOT FREE,BAR,INDOOR,NO
108,Sandburg,48.3103,14.2920,OBEROESTERREICH,"Untere Donaulände 5, 4020 Linz",https://sandburg.publicviewings.at,NOT FREE,EVENT VENUE,OUTDOOR,YES
109,Saturn Projektentwicklung GmbH,47.02673075,15.4893762,STEIERMARK,"Dr. Auner Straße 19/9, 8074 Raaba-Grambach",,FREE,OTHER,INDOOR,NO
110,SC Mautern,48.39620733,15.5844105,NIEDEROESTERREICH,"Austrasse 15, 3512 Mautern",,FREE,EVENT VENUE,OUTDOOR,NO
111,SC Pfaffstätten,48.01210656,16.26608024,NIEDEROESTERREICH,"Lederhasgasse 7, 2511 Pfaffstätten",,FREE,EVENT VENUE,OUTDOOR,NO
112,SC Theresienfeld,47.86099401,16.25210793,NIEDEROESTERREICH,"Sportplatzgasse 9, 2604 Theresienfeld",,FREE,EVENT VENUE,OUTDOOR,NO
113,SC Tragwein/Kamig,48.3298814,14.61677334,OBEROESTERREICH,"Pregartener Str. 19, 4284 Tragwein",,FREE,EVENT VENUE,OUTDOOR,NO
114,Schirm Bar & Café,48.77301086,14.98573707,NIEDEROESTERREICH,"Stadtplatz 26, 3950 Gmünd",,NOT FREE,BAR,INDOOR,NO
115,Schlosspark Pottendorf,47.90019146,16.39677128,NIEDEROESTERREICH,"Badener Straße 2, 2486 Pottendorf",,FREE,EVENT VENUE,OUTDOOR,NO
116,SCU Obersdorf/Pillichsdorf,48.37416257,16.52581336,NIEDEROESTERREICH,"Kirschenalle, 39 2120 Obersdorf",,FREE,EVENT VENUE,OUTDOOR,NO
